# Simulation 2 (Up to date)
# 5397 data points written for 54 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (68.4 m/s)
#   Discontinuity in rocket body diameter.
#
# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s²),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
4.519,6883,771.68,-301.55,772.33,301.93,243.66,13.672,244.05,3.2115,31.735,15.004,28.61,-80.599,9.7852,0.035631,840.06,0.71356,0.64634,9644.9,4464,2.6093,0.019221,126.68,107.8,4.6916,2.3273,85387332,0,2817.7,1.1531,1.1531,0.12862,0.9171,0.10742,0.0025841,0.012363,-1.8435e-4,0,-0.0064101,0,0.0064101,5.0128e-6,0.098793,4.024,82.049,87.177,2.9527,NaN,1.1329,785.55,331.99,4.191e-4,3.4777
4.5194,6884,771.55,-301.45,772.21,301.82,243.71,13.674,244.09,3.2115,31.728,14.998,28.61,-80.599,9.7852,0.035321,838.07,0.74045,0.6478,9644.8,4464,2.6093,0.019221,126.68,107.8,4.6923,2.327,85371090,0,2816.7,1.1531,1.1532,0.12863,0.91708,0.10744,0.0025619,0.01159,-2.5426e-4,0,-0.0063971,0,0.0063971,5.3995e-6,0.098777,4.024,82.049,87.177,2.9445,NaN,1.1308,785.52,331.98,4.2011e-4,3.478
4.5199,6885.1,771.43,-301.35,772.08,301.72,243.75,13.677,244.14,3.2114,31.722,14.991,28.61,-80.599,9.7852,0.035,836.07,0.7671,0.64924,9644.8,4464,2.6093,0.019221,126.69,107.8,4.693,2.3266,85354815,0,2815.7,1.1532,1.1532,0.12865,0.91706,0.10745,0.0025388,0.01201,-7.1159e-5,0,-0.0063841,0,0.0063841,5.7971e-6,0.098761,4.024,82.049,87.177,2.9362,NaN,1.1287,785.49,331.98,4.2111e-4,3.4781
4.5203,6886.1,771.3,-301.25,771.95,301.62,243.8,13.679,244.18,3.2114,31.716,14.985,28.61,-80.599,9.7852,0.034666,834.07,0.79349,0.65073,9644.8,4464,2.6093,0.019221,126.69,107.8,4.6936,2.3262,85338507,0,2814.7,1.1532,1.1532,0.12866,0.91703,0.10747,0.0025149,0.011938,3.1018e-4,0,-0.0063711,0,0.0063711,6.2048e-6,0.098744,4.024,82.049,87.176,2.9277,NaN,1.1265,785.46,331.98,4.2212e-4,3.4783
4.5207,6887.2,771.17,-301.14,771.83,301.52,243.84,13.681,244.22,3.2114,31.709,14.978,28.61,-80.599,9.7852,0.034321,832.07,0.81996,0.65261,9644.8,4464,2.6093,0.019221,126.69,107.8,4.6943,2.3258,85322165,0,2813.7,1.1532,1.1532,0.12868,0.91701,0.10749,0.0024902,0.012084,-8.5528e-5,0,-0.0063581,0,0.0063581,6.6279e-6,0.098728,4.024,82.049,87.176,2.9191,NaN,1.1244,785.43,331.98,4.2314e-4,3.4784
4.5211,6888.3,771.05,-301.04,771.7,301.41,243.88,13.684,244.27,3.2113,31.703,14.971,28.61,-80.599,9.7852,0.033964,830.08,0.84582,0.65431,9644.8,4464,2.6093,0.019221,126.7,107.8,4.695,2.3255,85305790,0,2812.7,1.1532,1.1532,0.12869,0.91699,0.10751,0.0024645,0.01148,2.0783e-4,0,-0.006345,0,0.006345,7.0548e-6,0.098712,4.024,82.049,87.176,2.9103,NaN,1.1222,785.39,331.98,4.2416e-4,3.4785
4.5215,6889.4,770.92,-300.94,771.57,301.31,243.93,13.686,244.31,3.2113,31.697,14.964,28.61,-80.599,9.7852,0.033595,828.08,0.87095,0.6559,9644.8,4464,2.6093,0.019221,126.7,107.8,4.6957,2.3251,85289381,0,2811.7,1.1532,1.1532,0.12871,0.91697,0.10752,0.0024381,0.011326,1.4055e-4,0,-0.006332,0,0.006332,7.4827e-6,0.098695,4.024,82.049,87.176,2.9014,NaN,1.12,785.36,331.98,4.2519e-4,3.4786
4.522,6890.4,770.79,-300.83,771.44,301.21,243.97,13.688,244.36,3.2113,31.69,14.957,28.61,-80.599,9.7852,0.033216,826.08,0.89585,0.65819,9644.8,4464,2.6093,0.019221,126.7,107.8,4.6964,2.3247,85272939,0,2810.7,1.1532,1.1532,0.12872,0.91695,0.10754,0.0024108,0.011444,1.0917e-4,0,-0.006319,0,0.006319,7.9194e-6,0.098679,4.024,82.049,87.176,2.8923,NaN,1.1179,785.33,331.98,4.2622e-4,3.4788
4.5224,6891.5,770.66,-300.73,771.31,301.1,244.02,13.691,244.4,3.2112,31.684,14.949,28.61,-80.599,9.7852,0.032825,824.08,0.92056,0.66031,9644.8,4464,2.6093,0.019221,126.7,107.8,4.6971,2.3243,85256463,0,2809.7,1.1532,1.1532,0.12873,0.91693,0.10756,0.0023827,0.011314,3.2617e-4,0,-0.006306,0,0.006306,8.3651e-6,0.098663,4.024,82.049,87.176,2.8831,NaN,1.1157,785.3,331.98,4.2726e-4,3.4789
4.5228,6892.6,770.53,-300.63,771.19,301,244.06,13.693,244.44,3.2112,31.678,14.942,28.61,-80.599,9.7852,0.032422,822.09,0.94499,0.66264,9644.8,4464,2.6093,0.019221,126.71,107.8,4.6979,2.3239,8.524e7,0,2808.7,1.1532,1.1532,0.12875,0.91691,0.10758,0.0023537,0.010891,3.3528e-4,0,-0.0062929,0,0.0062929,8.8178e-6,0.098646,4.024,82.049,87.176,2.8738,NaN,1.1135,785.27,331.97,4.283e-4,3.479
4.5232,6893.7,770.41,-300.52,771.06,300.89,244.1,13.695,244.49,3.2112,31.671,14.934,28.61,-80.599,9.7852,0.032009,820.09,0.96828,0.66506,9644.8,4464,2.6093,0.019221,126.71,107.8,4.6986,2.3236,85223407,0,2807.7,1.1532,1.1532,0.12876,0.91689,0.10759,0.002324,0.010657,-3.3891e-4,0,-0.0062799,0,0.0062799,9.2609e-6,0.09863,4.024,82.049,87.175,2.8644,NaN,1.1114,785.23,331.97,4.2935e-4,3.4791
4.5237,6894.8,770.28,-300.42,770.93,300.79,244.15,13.698,244.53,3.2111,31.665,14.926,28.61,-80.599,9.7852,0.031585,818.09,0.99163,0.66798,9644.8,4464,2.6093,0.019221,126.71,107.8,4.6993,2.3232,85206828,0,2806.7,1.1533,1.1533,0.12878,0.91687,0.10761,0.0022934,0.010625,-1.6911e-4,0,-0.0062669,0,0.0062669,9.7162e-6,0.098613,4.024,82.049,87.175,2.8548,NaN,1.1092,785.2,331.97,4.304e-4,3.4793
4.5241,6895.8,770.15,-300.31,770.8,300.68,244.19,13.7,244.58,3.2111,31.658,14.918,28.61,-80.599,9.7852,0.031151,816.09,1.0141,0.67161,9644.8,4464,2.6093,0.019221,126.72,107.8,4.7001,2.3228,8.519e7,0,2805.7,1.1533,1.1533,0.12879,0.91685,0.10763,0.0022621,0.010243,2.5725e-4,0,-0.0062538,0,0.0062538,1.0165e-5,0.098596,4.024,82.049,87.175,2.8451,NaN,1.107,785.17,331.97,4.3146e-4,3.4794
4.5245,6896.9,770.02,-300.21,770.67,300.58,244.24,13.702,244.62,3.2111,31.652,14.909,28.61,-80.599,9.7852,0.030706,814.1,1.0363,0.67558,9644.8,4464,2.6093,0.019221,126.72,107.8,4.7008,2.3224,85173566,0,2804.7,1.1533,1.1533,0.12881,0.91683,0.10765,0.00223,0.010405,-2.8049e-4,0,-0.0062407,0,0.0062407,1.0618e-5,0.09858,4.024,82.049,87.175,2.8353,NaN,1.1048,785.14,331.97,4.3252e-4,3.4795
4.525,6898,769.89,-300.1,770.54,300.47,244.28,13.705,244.67,3.2111,31.646,14.901,28.61,-80.599,9.7852,0.03025,812.1,1.0581,0.67952,9644.8,4464,2.6093,0.019221,126.72,107.8,4.7016,2.322,85156882,0,2803.7,1.1533,1.1533,0.12882,0.91681,0.10766,0.0021972,0.010038,4.3245e-4,0,-0.0062277,0,0.0062277,1.1074e-5,0.098563,4.024,82.049,87.175,2.8254,NaN,1.1026,785.1,331.97,4.3359e-4,3.4796
4.5254,6899.1,769.76,-300,770.41,300.37,244.33,13.707,244.71,3.211,31.639,14.892,28.61,-80.599,9.7852,0.029785,810.1,1.0792,0.68399,9644.8,4464,2.6093,0.019221,126.73,107.8,4.7023,2.3217,8.514e7,0,2802.7,1.1533,1.1533,0.12883,0.91678,0.10768,0.0021636,0.0099537,-5.9467e-5,0,-0.0062146,0,0.0062146,1.1523e-5,0.098547,4.024,82.049,87.174,2.8154,NaN,1.1004,785.07,331.97,4.3466e-4,3.4797
4.5258,6900.2,769.63,-299.89,770.28,300.26,244.37,13.71,244.76,3.211,31.633,14.884,28.61,-80.599,9.7852,0.029309,808.1,1.1,0.68834,9644.8,4464,2.6093,0.019221,126.73,107.8,4.7031,2.3213,85123410,0,2801.6,1.1533,1.1533,0.12885,0.91676,0.1077,0.0021293,0.0099379,3.259e-4,0,-0.0062015,0,0.0062015,1.1975e-5,0.09853,4.024,82.049,87.174,2.8053,NaN,1.0982,785.04,331.96,4.3574e-4,3.4798
4.5263,6901.3,769.5,-299.79,770.15,300.16,244.42,13.712,244.8,3.211,31.626,14.875,28.61,-80.599,9.7852,0.028824,806.1,1.1202,0.69274,9644.8,4464,2.6093,0.019221,126.73,107.8,4.7039,2.3209,85106621,0,2800.6,1.1533,1.1533,0.12886,0.91674,0.10772,0.0020942,0.010275,4.6838e-4,0,-0.0061885,0,0.0061885,1.2425e-5,0.098513,4.024,82.049,87.174,2.7951,NaN,1.0959,785,331.96,4.3682e-4,3.4799
4.5267,6902.4,769.37,-299.68,770.02,300.05,244.46,13.714,244.85,3.2109,31.62,14.865,28.61,-80.599,9.7852,0.028329,804.11,1.1398,0.69732,9644.8,4464,2.6093,0.019221,126.73,107.8,4.7047,2.3205,8.509e7,0,2799.6,1.1533,1.1533,0.12888,0.91672,0.10774,0.0020585,0.010168,3.4593e-4,0,-0.0061754,0,0.0061754,1.2867e-5,0.098496,4.024,82.049,87.174,2.7848,NaN,1.0937,784.97,331.96,4.3791e-4,3.48
4.5272,6903.5,769.24,-299.58,769.88,299.95,244.51,13.717,244.89,3.2109,31.613,14.856,28.61,-80.599,9.7852,0.027824,802.11,1.1588,0.70251,9644.8,4464,2.6093,0.019221,126.74,107.8,4.7055,2.3201,85072936,0,2798.6,1.1533,1.1533,0.12889,0.9167,0.10775,0.002022,0.0097627,-3.8636e-4,0,-0.0061623,0,0.0061623,1.3305e-5,0.09848,4.024,82.049,87.173,2.7744,NaN,1.0915,784.94,331.96,4.3901e-4,3.4801
4.5276,6904.6,769.1,-299.47,769.75,299.84,244.55,13.719,244.94,3.2109,31.607,14.847,28.61,-80.599,9.7851,0.027311,800.11,1.1776,0.7084,9644.8,4464,2.6093,0.019221,126.74,107.8,4.7063,2.3197,85056040,0,2797.6,1.1534,1.1534,0.12891,0.91668,0.10777,0.0019849,0.0097315,-5.0346e-5,0,-0.0061492,0,0.0061492,1.3744e-5,0.098463,4.024,82.049,87.173,2.764,NaN,1.0893,784.91,331.96,4.4011e-4,3.4803
4.528,6905.7,768.97,-299.37,769.62,299.73,244.6,13.722,244.98,3.2108,31.6,14.837,28.61,-80.599,9.7851,0.026788,798.11,1.1958,0.71436,9644.8,4464,2.6093,0.019221,126.74,107.8,4.7071,2.3193,85039108,0,2796.5,1.1534,1.1534,0.12892,0.91666,0.10779,0.0019471,0.009619,-9.3687e-5,0,-0.0061361,0,0.0061361,1.4177e-5,0.098446,4.024,82.049,87.173,2.7535,NaN,1.087,784.87,331.96,4.4121e-4,3.4804
4.5285,6906.9,768.84,-299.26,769.49,299.63,244.65,13.724,245.03,3.2108,31.594,14.827,28.61,-80.599,9.7851,0.026256,796.12,1.2135,0.72173,9644.8,4464,2.6093,0.019221,126.75,107.8,4.7079,2.319,85022139,0,2795.5,1.1534,1.1534,0.12894,0.91664,0.10781,0.0019086,0.0094168,2.547e-4,0,-0.006123,0,0.006123,1.4605e-5,0.098429,4.024,82.049,87.172,2.7429,NaN,1.0848,784.84,331.96,4.4233e-4,3.4805
4.5289,6908,768.71,-299.15,769.36,299.52,244.69,13.726,245.08,3.2108,31.587,14.817,28.61,-80.599,9.7851,0.025716,794.12,1.2306,0.72934,9644.8,4464,2.6093,0.019221,126.75,107.8,4.7087,2.3186,85005134,0,2794.5,1.1534,1.1534,0.12895,0.91661,0.10783,0.0018695,0.0090658,6.1036e-5,0,-0.0061099,0,0.0061099,1.5026e-5,0.098412,4.024,82.049,87.172,2.7322,NaN,1.0825,784.81,331.95,4.4344e-4,3.4806
4.5294,6909.1,768.57,-299.05,769.22,299.41,244.74,13.729,245.12,3.2107,31.58,14.807,28.61,-80.599,9.7851,0.025167,792.12,1.2468,0.73746,9644.8,4464,2.6093,0.019221,126.75,107.8,4.7095,2.3182,84988093,0,2793.4,1.1534,1.1534,0.12897,0.91659,0.10784,0.0018298,0.0088462,-1.7006e-5,0,-0.0060968,0,0.0060968,1.5429e-5,0.098395,4.024,82.049,87.172,2.7215,NaN,1.0803,784.77,331.95,4.4457e-4,3.4807
4.5298,6910.2,768.44,-298.94,769.09,299.31,244.78,13.731,245.17,3.2107,31.574,14.797,28.61,-80.599,9.7851,0.02461,790.13,1.2618,0.74664,9644.8,4464,2.6093,0.019221,126.76,107.8,4.7103,2.3178,84971015,0,2792.4,1.1534,1.1534,0.12898,0.91657,0.10786,0.0017894,0.0088629,-4.756e-4,0,-0.0060836,0,0.0060836,1.5808e-5,0.098378,4.024,82.049,87.171,2.7107,NaN,1.078,784.74,331.95,4.4569e-4,3.4808
4.5302,6911.3,768.31,-298.83,768.96,299.2,244.83,13.734,245.21,3.2107,31.567,14.786,28.61,-80.599,9.7851,0.024045,788.13,1.2765,0.7568,9644.8,4464,2.6093,0.019221,126.76,107.8,4.7111,2.3174,84953900,0,2791.4,1.1534,1.1534,0.129,0.91655,0.10788,0.0017485,0.0080816,2.3651e-4,0,-0.0060705,0,0.0060705,1.6182e-5,0.098361,4.024,82.049,87.171,2.6998,NaN,1.0758,784.7,331.95,4.4683e-4,3.4809
4.5307,6912.5,768.18,-298.72,768.82,299.09,244.88,13.736,245.26,3.2106,31.561,14.775,28.61,-80.599,9.7851,0.023473,786.13,1.2897,0.76817,9644.8,4464,2.6093,0.019221,126.76,107.8,4.712,2.317,84936748,0,2790.3,1.1534,1.1534,0.12901,0.91653,0.1079,0.0017071,0.0076239,1.0417e-4,0,-0.0060574,0,0.0060574,1.6524e-5,0.098344,4.024,82.049,87.17,2.6889,NaN,1.0735,784.67,331.95,4.4797e-4,3.481
4.5311,6913.6,768.04,-298.62,768.69,298.98,244.92,13.739,245.31,3.2106,31.554,14.765,28.61,-80.599,9.7851,0.022895,784.13,1.3014,0.77933,9644.8,4464,2.6093,0.019221,126.77,107.8,4.7128,2.3166,8.492e7,0,2789.3,1.1534,1.1534,0.12903,0.9165,0.10792,0.0016652,0.0082785,-3.9487e-4,0,-0.0060442,0,0.0060442,1.6833e-5,0.098327,4.024,82.049,87.17,2.678,NaN,1.0712,784.64,331.95,4.4911e-4,3.4812
4.5316,6914.7,767.91,-298.51,768.55,298.87,244.97,13.741,245.35,3.2106,31.547,14.754,28.61,-80.599,9.7851,0.02231,782.14,1.3125,0.79187,9644.8,4464,2.6093,0.019221,126.77,107.8,4.7136,2.3162,84902332,0,2788.2,1.1535,1.1535,0.12904,0.91648,0.10793,0.0016228,0.0074336,1.8073e-4,0,-0.0060311,0,0.0060311,1.7127e-5,0.098309,4.024,82.049,87.17,2.667,NaN,1.0689,784.6,331.95,4.5027e-4,3.4813
4.532,6915.9,767.77,-298.4,768.42,298.77,245.01,13.744,245.4,3.2105,31.541,14.742,28.61,-80.599,9.7851,0.021719,780.14,1.3225,0.80536,9644.8,4464,2.6093,0.019221,126.77,107.8,4.7145,2.3158,84885067,0,2787.2,1.1535,1.1535,0.12906,0.91646,0.10795,0.00158,0.0078912,1.0646e-4,0,-0.0060179,0,0.0060179,1.7394e-5,0.098292,4.024,82.049,87.169,2.656,NaN,1.0667,784.57,331.95,4.5142e-4,3.4814
4.5325,6917,767.64,-298.29,768.29,298.66,245.06,13.746,245.45,3.2105,31.534,14.731,28.61,-80.599,9.7851,0.021123,778.14,1.3312,0.81954,9644.8,4464,2.6093,0.019221,126.78,107.8,4.7153,2.3154,84867765,0,2786.1,1.1535,1.1535,0.12907,0.91644,0.10797,0.0015367,0.0072658,3.401e-7,0,-0.0060048,0,0.0060048,1.7631e-5,0.098275,4.024,82.049,87.169,2.645,NaN,1.0644,784.54,331.94,4.5259e-4,3.4815
4.5329,6918.1,767.5,-298.18,768.15,298.55,245.11,13.749,245.49,3.2105,31.527,14.72,28.61,-80.599,9.7851,0.020522,776.14,1.3389,0.8355,9644.8,4464,2.6093,0.019221,126.78,107.8,4.7162,2.315,8.485e7,0,2785.1,1.1535,1.1535,0.12909,0.91642,0.10799,0.0014931,0.0069289,4.5771e-4,0,-0.0059916,0,0.0059916,1.784e-5,0.098258,4.024,82.049,87.168,2.634,NaN,1.0621,784.5,331.94,4.5376e-4,3.4816
4.5334,6919.3,767.37,-298.08,768.01,298.44,245.16,13.751,245.54,3.2104,31.521,14.708,28.61,-80.599,9.7851,0.019916,774.15,1.3442,0.85293,9644.8,4464,2.6093,0.019221,126.78,107.8,4.7171,2.3146,84833047,0,2784,1.1535,1.1535,0.1291,0.91639,0.10801,0.0014492,0.0067026,-4.4945e-4,0,-0.0059785,0,0.0059785,1.799e-5,0.09824,4.024,82.049,87.168,2.6229,NaN,1.0598,784.47,331.94,4.5493e-4,3.4817
4.5339,6920.4,767.23,-297.97,767.88,298.33,245.2,13.754,245.59,3.2104,31.514,14.696,28.61,-80.599,9.7851,0.019308,772.15,1.3482,0.87232,9644.8,4464,2.6093,0.019221,126.79,107.8,4.7179,2.3142,84815630,0,2783,1.1535,1.1535,0.12912,0.91637,0.10803,0.0014051,0.0067624,1.796e-4,0,-0.0059653,0,0.0059653,1.8104e-5,0.098223,4.024,82.049,87.167,2.6119,NaN,1.0575,784.43,331.94,4.5612e-4,3.4818
4.5343,6921.6,767.1,-297.86,767.74,298.22,245.25,13.756,245.63,3.2104,31.507,14.684,28.61,-80.599,9.7851,0.018696,770.15,1.3507,0.89245,9644.8,4464,2.6093,0.019221,126.79,107.8,4.7188,2.3138,84798175,0,2781.9,1.1535,1.1535,0.12913,0.91635,0.10805,0.0013607,0.006454,-4.8231e-4,0,-0.0059521,0,0.0059521,1.8177e-5,0.098206,4.024,82.049,87.167,2.6008,NaN,1.0551,784.4,331.94,4.573e-4,3.4819
4.5348,6922.7,766.96,-297.75,767.61,298.11,245.3,13.759,245.68,3.2103,31.501,14.672,28.61,-80.599,9.7851,0.018083,768.15,1.3507,0.91483,9644.8,4464,2.6093,0.019221,126.79,107.8,4.7196,2.3134,84780681,0,2780.9,1.1535,1.1535,0.12915,0.91633,0.10806,0.0013162,0.0059822,3.235e-5,0,-0.0059389,0,0.0059389,1.8183e-5,0.098188,4.024,82.049,87.166,2.5897,NaN,1.0528,784.36,331.94,4.585e-4,3.482
4.5352,6923.9,766.82,-297.64,767.47,298,245.34,13.761,245.73,3.2103,31.494,14.66,28.61,-80.599,9.7851,0.017469,766.16,1.3487,0.93877,9644.8,4464,2.6093,0.019221,126.8,107.8,4.7205,2.313,84763148,0,2779.8,1.1536,1.1536,0.12916,0.91631,0.10808,0.0012716,0.0061789,-1.7372e-4,0,-0.0059257,0,0.0059257,1.8136e-5,0.098171,4.024,82.049,87.166,2.5787,NaN,1.0505,784.33,331.94,4.597e-4,3.4821
4.5357,6925,766.69,-297.53,767.33,297.89,245.39,13.764,245.78,3.2103,31.487,14.647,28.61,-80.599,9.7851,0.016855,764.16,1.3452,0.96522,9644.8,4464,2.6093,0.019221,126.8,107.8,4.7214,2.3126,84745576,0,2778.8,1.1536,1.1536,0.12918,0.91628,0.1081,0.001227,0.0058065,2.836e-4,0,-0.0059125,0,0.0059125,1.8049e-5,0.098153,4.024,82.049,87.165,2.5676,NaN,1.0482,784.3,331.93,4.6091e-4,3.4822
4.5361,6926.2,766.55,-297.42,767.2,297.78,245.44,13.766,245.82,3.2102,31.48,14.635,28.61,-80.599,9.7851,0.016242,762.16,1.3384,0.99379,9644.8,4464,2.6093,0.019221,126.81,107.8,4.7222,2.3122,84727965,0,2777.7,1.1536,1.1536,0.12919,0.91626,0.10812,0.0011825,0.0051053,2.6052e-4,0,-0.0058993,0,0.0058993,1.7872e-5,0.098136,4.024,82.049,87.165,2.5566,NaN,1.0458,784.26,331.93,4.6212e-4,3.4823
4.5366,6927.4,766.41,-297.31,767.06,297.67,245.49,13.769,245.87,3.2102,31.474,14.622,28.61,-80.599,9.7851,0.015632,760.16,1.3287,1.0253,9644.8,4464,2.6093,0.019221,126.81,107.8,4.7231,2.3118,8.471e7,0,2776.6,1.1536,1.1536,0.12921,0.91624,0.10814,0.0011382,0.0055402,3.0841e-4,0,-0.0058861,0,0.0058861,1.7621e-5,0.098118,4.024,82.049,87.164,2.5456,NaN,1.0435,784.23,331.93,4.6334e-4,3.4824
4.5371,6928.5,766.27,-297.2,766.92,297.56,245.53,13.771,245.92,3.2102,31.467,14.609,28.61,-80.599,9.7851,0.015026,758.17,1.3148,1.0593,9644.8,4464,2.6093,0.019221,126.81,107.8,4.724,2.3114,84692624,0,2775.6,1.1536,1.1536,0.12922,0.91622,0.10816,0.0010942,0.0049541,-3.322e-4,0,-0.0058729,0,0.0058729,1.7261e-5,0.0981,4.024,82.049,87.164,2.5346,NaN,1.0411,784.19,331.93,4.6456e-4,3.4825
4.5375,6929.7,766.14,-297.09,766.78,297.45,245.58,13.774,245.97,3.2102,31.46,14.596,28.61,-80.599,9.7851,0.014426,756.17,1.2972,1.0957,9644.8,4464,2.6093,0.019221,126.82,107.8,4.7248,2.311,84674894,0,2774.5,1.1536,1.1536,0.12924,0.91619,0.10818,0.0010506,0.0045863,2.1364e-5,0,-0.0058597,0,0.0058597,1.6808e-5,0.098083,4.024,82.049,87.163,2.5237,NaN,1.0388,784.16,331.93,4.658e-4,3.4827
4.538,6930.9,766,-296.98,766.64,297.34,245.63,13.776,246.02,3.2101,31.453,14.583,28.61,-80.599,9.7851,0.013833,754.17,1.2755,1.1348,9644.8,4464,2.6093,0.019221,126.82,107.8,4.7257,2.3106,84657123,0,2773.4,1.1536,1.1536,0.12925,0.91617,0.1082,0.0010075,0.0046613,2.4434e-4,0,-0.0058464,0,0.0058464,1.6257e-5,0.098065,4.024,82.049,87.163,2.5128,NaN,1.0364,784.12,331.93,4.6704e-4,3.4828
4.5385,6932,765.86,-296.87,766.5,297.22,245.68,13.779,246.06,3.2101,31.447,14.57,28.61,-80.599,9.7851,0.013251,752.17,1.2482,1.1775,9644.8,4464,2.6093,0.019221,126.82,107.8,4.7265,2.3102,84639313,0,2772.3,1.1536,1.1536,0.12927,0.91615,0.10822,9.6523e-4,0.0045059,-3.5942e-4,0,-0.0058332,0,0.0058332,1.5572e-5,0.098047,4.024,82.049,87.162,2.5019,NaN,1.0341,784.09,331.93,4.6828e-4,3.4829
4.5389,6933.2,765.72,-296.76,766.37,297.11,245.73,13.781,246.11,3.2101,31.44,14.557,28.61,-80.599,9.7851,0.012682,750.18,1.2151,1.2235,9644.8,4464,2.6093,0.019221,126.83,107.8,4.7274,2.3098,84621462,0,2771.3,1.1536,1.1536,0.12929,0.91612,0.10824,9.2385e-4,0.0044019,4.026e-4,0,-0.00582,0,0.00582,1.4763e-5,0.098029,4.024,82.049,87.161,2.4911,NaN,1.0317,784.05,331.92,4.6953e-4,3.483
4.5394,6934.4,765.58,-296.64,766.23,297,245.77,13.784,246.16,3.21,31.433,14.543,28.61,-80.599,9.7851,0.012128,748.18,1.1747,1.2725,9644.8,4464,2.6093,0.019221,126.83,107.8,4.7282,2.3094,84603570,0,2770.2,1.1537,1.1537,0.1293,0.9161,0.10825,8.8362e-4,0.0046302,2.8379e-4,0,-0.0058067,0,0.0058067,1.3802e-5,0.098011,4.024,82.049,87.161,2.4804,NaN,1.0293,784.02,331.92,4.7079e-4,3.4831
4.5399,6935.6,765.44,-296.53,766.09,296.89,245.82,13.787,246.21,3.21,31.426,14.53,28.61,-80.599,9.7851,0.011594,746.18,1.1265,1.3243,9644.8,4464,2.6093,0.019221,126.83,107.8,4.7291,2.309,84585637,0,2769.1,1.1537,1.1537,0.12932,0.91608,0.10827,8.4481e-4,0.0044152,-2.789e-4,0,-0.0057935,0,0.0057935,1.2697e-5,0.097994,4.024,82.049,87.16,2.4697,NaN,1.0269,783.98,331.92,4.7206e-4,3.4833
4.5404,6936.8,765.3,-296.42,765.95,296.78,245.87,13.789,246.26,3.21,31.419,14.516,28.61,-80.599,9.7851,0.011084,744.19,1.0693,1.3789,9644.8,4464,2.6093,0.019221,126.84,107.8,4.7299,2.3085,84567664,0,2768,1.1537,1.1537,0.12933,0.91605,0.10829,8.0771e-4,0.0037241,-1.034e-4,0,-0.0057802,0,0.0057802,1.1445e-5,0.097976,4.024,82.049,87.159,2.4591,NaN,1.0246,783.94,331.92,4.7333e-4,3.4835
4.5408,6937.9,765.16,-296.31,765.81,296.66,245.92,13.792,246.31,3.2099,31.412,14.502,28.61,-80.599,9.7851,0.010602,742.19,1.0019,1.4354,9644.8,4464,2.6093,0.019221,126.84,107.8,4.7307,2.3081,8.455e7,0,2766.9,1.1537,1.1537,0.12935,0.91603,0.10831,7.7266e-4,0.0041306,4.7601e-4,0,-0.005767,0,0.005767,1.0052e-5,0.097958,4.024,82.049,87.159,2.4485,NaN,1.0222,783.91,331.92,4.7461e-4,3.4837
4.5413,6939.1,765.02,-296.2,765.67,296.55,245.97,13.794,246.36,3.2099,31.405,14.488,28.61,-80.599,9.7851,0.010153,740.19,0.92266,1.4931,9644.8,4464,2.6093,0.019221,126.84,107.8,4.7315,2.3077,84531592,0,2765.8,1.1537,1.1537,0.12936,0.91601,0.10833,7.4003e-4,0.0031987,1.2645e-5,0,-0.0057537,0,0.0057537,8.5276e-6,0.09794,4.024,82.049,87.158,2.4381,NaN,1.0198,783.87,331.92,4.759e-4,3.4838
4.5418,6940.3,764.88,-296.08,765.52,296.44,246.02,13.797,246.4,3.2099,31.399,14.474,28.61,-80.599,9.7851,0.0097436,738.19,0.83082,1.5506,9644.8,4464,2.6093,0.019221,126.85,107.8,4.7322,2.3073,84513494,0,2764.7,1.1537,1.1537,0.12938,0.91598,0.10835,7.1028e-4,0.0030934,2.5493e-4,0,-0.0057404,0,0.0057404,6.9171e-6,0.097922,4.024,82.049,87.158,2.4278,NaN,1.0174,783.84,331.92,4.7719e-4,3.4841
